Question,Answer
 What is cashier’s cheque?,A cashier cheque issued by the bank on behalf of the customer and takes the guarantee for the payment. The payment is done from the bank’s own funds and signed by the cashier. The cashier cheque is issued when rapid settlement is necessary.
 What do you mean by co-maker?,A person who signs a note to guarantee the payment of the loan on behalf of the main loan applicant’s is known as co-maker or co-signer.
 What is home equity loan?,"Home equity loan, also known as the second mortgage, enables you to borrow money against the value of equity in your home. For example, if the value of the home is $1, 50,000 and you have paid $50,000. The balance owed on your mortgage is $1, 00,000. The amount $50,000 is an equity, which is the difference of the actual value of the home and what you owe to the bank. Based on equity the lender will give you a loan. Usually, the applicant will get 85% of the loan on its equity, considering your income and credit score. In this case, you will get 85% of $50,000, which is $42,500."
 What is Line of credit?,"Line of credit is an agreement or arrangement between the bank and a borrower, to provide a certain amount of loans on borrower’s demand. The borrower can withdraw the amount at any moment of time and pay the interest only on the amount withdrawn. For example, if you have $5000 line of credit, you can withdraw the full amount or any amount less than $5000 (say $2000) and only pay the interest for the amount withdrawn (in this case $2000)."
 How bank earns profit?,The bank earns profit in various ways
 What are payroll cards?,"Payroll cards are types of smart cards issued by banks to facilitate salary payments between employer and employees. Through payroll card, employer can load salary payments onto an employee’s smart card, and employee can withdraw the salary even though he/she doesn’t have an account in the bank."
 What is the card based payments?,There are two types of card payments
 What ACH stands for?,"ACH stands for Automated Clearing House, which is an electronic transfer of funds between banks or financial institutions."
 What is ‘Availability Float’?,"Availability Float is a time difference between deposits made, and the funds are actually available in the account. It is time to process a physical cheque into your account."
 What is Cost Of Funds Index (COFI,COFI is an index that is used to determine interest rates or changes in the interest rates for certain types of Loans.
 What is Convertibility Clause?,"For certain loan, there is a provision for the borrower to change the interest rate from fixed to variable and vice versa is referred as Convertibility Clause."
 What is Charge-off?,"Charge off is a declaration by a lender to a borrower for non-payment of the remaining amount, when borrower badly falls into debt. The unpaid amount is settled as a bad debt."
 What ‘LIBOR’ stands for?,"‘LIBOR’ stands for London Inter-Bank Offered Rate. As the name suggest, it is an average interest rate offered for U.S dollar or Euro dollar deposited between groups of London banks. It is an international interest rate that follows world economic condition and used as a base rate by banks to set interest rate. LIBOR comes in 8 maturities from overnight to 12 months and in 5 different currencies. Once in a day LIBOR announces its interest rate."
 What do you mean by term ‘Usury’?,When a loan is charged with high interest rate illegally then it is referred as ‘Usury’. Usury rates are generally set by State Law.
 What is Payday loan?,"A pay-day loan is generally, a small amount and a short-term loan available at high interest rate. A borrower normally writes post-dated cheques to the lender in respect to the amount they wish to borrow."
 What do you mean by ‘cheque endorsing’?,"‘Endorsing cheque’ ensures that the cheque get deposited into your account only. It minimizes the risk of theft. Normally, in endorsing cheque, the cashier will ask you to sign at the back of the cheque. The signature should match the payee. The image over here shows the endorsed cheque."
 What are the different types of Loans offered by banks?,The different types of loans offered by banks are:
 What are the different types of ‘Fixed Deposits’?,There are two different types of ‘Fixed Deposits’
:,"Ordinary Term Deposits: In this type of ‘Fixed Deposits’, the earned credit is credited to the investor’s account, once in a quarter. In some cases, interest may be credited on a monthly basis."
:,The earned interest on fixed deposits is non-taxable. You can also take a loan against your fixed deposit.
 What are the different types of Loans offered by Commercial Banks?,Start-Up Loans
 What is ‘Bill Discount’?,"‘Bill Discount’ is a settlement of the bill, where your electricity bill or gas bill is sold to a bank for early payment at less than the face value and the bank will recover the full amount of the bill from you before bill due date. For example, electricity bill for XYZ is $1000; the electricity bill company will sell the bill to the bank for 10% to 20% discount to the face value. Here, the bank will buy the electricity bill for $900 whose face value is $1000, now the bank will recover, full amount of bill from the customer i.e $1000. If the customer fails to pay the bill, the bank will put interest on the outstanding bill and ask the customer for the payment."
 What is ‘Bill Purchase’?,"In ‘Bill Purchase’ the loan will be created for the full value of the draft and the interest will be recovered when the actual payment comes. For example, a ‘Sight draft’ is presented for which the loan is created for 100% of the draft value. The money is received after 7 days, and then the interest will be recovered for 7 days along with the principal amount."
 What is ‘Cheque Discount’?,"Cheque discounting service is offered only by few banks. For instance, if you have a cheque of $3000 outstation and the cheque will take 7 seven days for clearance, then bank will offer you a service for early payment. The bank can make an early payment, but they will pay only for certain percentage of the actual amount, here they will pay you $2000 but they will charge interest on it and the remaining $1000 will be paid, once the outstation cheques get clear."
What is the minimum and maximum tenor for which Retail Term Deposit can be kept with IDBI Bank?,"The minimum and maximum tenor for general/Senior citizen is 15 days and 20 years, respectively."
What is the minimum and maximum amount for which a Retail Term Deposit can be made with IDBI Bank?,"The minimum amount is Rs.10,000/- and the maximum amount under Retail Term Deposit is Rs.99,99,999/-"
What is the frequency of compounding under cumulative/reinvestment option in the Term Deposit of IDBI Bank?,The interest is compounded on a quarterly rest under cumulative/ reinvestment option
What is the interest rate applicable for Term Deposits?,The Interest Rates on term deposit of the bank is subject to change from time to time and the same is provided on the website of the Bank and also available at every branch.
What interest payment options are available under Term Deposit with IDBI Bank?,"Interest payment on Monthly (discounted), Quarterly and Annual rest is available under IDBI Bank Term Deposit."
Are the interest rates same under all interest pay out or cumulative/ reinvestment option?,"The applicable interest rate as indicated in the interest table is applicable for all options of interest payout except monthly (discounted) interest payment option. Under monthly interest payment option, the interest rate discounted to match the applicable interest rate payable at quarterly rests."
Is the Term Deposit exempt from Tax or any tax rebate available under any Term Deposit Option?,"Normal Term deposits are not exempt from tax and Interest on Term Deposits is subject to Tax Deduction at Source as per extant Tax laws.
Tax Rebates are available as per extant Tax laws under distinct Term deposit viz. IDBI Tax Saving Deposit."
Does the Bank offer any special interest rate for Senior Citizen on its Term Deposits?,"Yes, an additional markup for Senior Citizen Interest rates is 0.50% for deposits from 1 year and above. This mark-up is subject to change at the discretion of the Bank. You may refer to the interest rates hosted on our website www.idbibank.in"
"While opening Fixed Deposit account, which documents are required to be submitted?","For opening of a Term Deposit Account, the duly filled and signed Account Opening Form (AOF) with photograph/s of the applicants and the KYC documents are required to be submitted. The AOF has to be submitted alongwith the requisite amount for which Term Deposit is proposed to be made. The Details of documents is available in the nearest branches."
"If I have an existing Customer ID, do I need to go through the procedure and formalities of account opening again?","No, You need not go through any formalities. You just have to provide the Customer ID, type of deposit and cheque/cash and we will take care of the rest. In case you want to have the deposit as senior citizen and the existing Customer ID is for non senior citizen, then you need to go through the formalities mentioned in 'Open your account'"
When do I become liable for TDS?,"As per Income Tax Act, 1961 u/s 194A (1) (3) (i) where the amount or aggregate of the amounts of interest credited or likely to be credited or paid during the financial year exceeds Rs.10,000/-, TDS is applicable from the first interest flow.
Note: Deposits held by minors are also subject to TDS. The person in whose hands the minor's income is included can claim the credit for the TDS."
When is TDS done?,"TDS is done at the time of credit of interest to account if the total interest payable to the customer during the financial year is likely to exceed the limit of Rs.10,000/-. Interest is applied on quarterly basis for cumulative FDs and on monthly basis of monthly interest payout FDs."
Does any change or enhancement in my deposit portfolio affect TDS liability?,"Yes. If the change or enhancement in your time deposit portfolio including that of earlier portfolio is likely to earn aggregate interest of more than Rs.10,000/- during the financial year, TDS will be applicable on the basis of projected interest."
.,At what rate is TDS deducted?
At what rate is TDS deducted?,"TDS is deducted at rates as required by section 194A (Resident) and section 195 (NRO) of IT Act 1961 for the following category of account holders. Presently, rates of TDS are as under:
Account holder Rate of TDS Rate of TDS (with surcharge and education cess)
Resident Indians- Individuals, Trusts, Associations, HUFs, Firms Indian Companies 10%
10%
Non-Resident Indians 30%
* 30.90%
* Non-resident non-corporate deposit where aggregate payment is less than Rs. 1 crore during the FY 2014-15.
In absence of PAN / valid PAN, TDS at higher rate of 20% is applicable."
Is there any Threshold limit for TDS on NRO deposit interest?,"No. There is no threshold limit applicable for TDS on NRO Accounts, which means TDS will be applied on all interest payment including interest on savings bank deposits, right from very first application."
How and when can I apply for exemption on TDS?,"If your total taxable income during the financial year is not likely to exceed the maximum amount which is not chargeable to income tax, then you can submit self declaration in Form 15G or 15H (for senior citizens only) to the Bank to ensure non deduction of tax at source. The declaration has to be given in prescribed format only wherein the valid 10 digit PAN is also required. It may be noted that if the interest payable by the Bank during the financial year on time deposits is likely to exceed the maximum amount which is not chargeable to income tax, then the Form 15G submitted will be treated as invalid. In case of Senior Citizens, if the interest payable by the Bank during the financial year on time deposits is likely to exceed the maximum amount which is not chargeable to tax and deduction(s) under chapter VIA, if any, for which declarant is eligible, then the Form 15H submitted will be treated as invalid.
The gist of the same is given below:
Category Type of Form
Exemption limit
Male
Female
a) Individuals up to age of 60, (This form needs to be submitted at the beginning of each FY)
Form 15G
Rs.2,50,000/-
Rs.2,50,000/-
b) HUFs, Associations, Trusts.(This form needs to be submitted at the beginning of each FY)
Form 15G
Rs.2,50,000/-
Rs.2,50,000/-
c) Individual customer with age 60 years and above but less than 80 years. (Completing 60 years but not completing 80 years during the FY). (This form needs to be submitted at the beginning of each FY)
Form 15H
$ Rs.3,00,000/-
$ Rs.3,00,000/-
d) Individual customer with age 80 years and above. (Completing 80 years during the FY). (This form needs to be submitted at the beginning of each FY)
Form 15H
$ Rs.5,00,000/-
$ Rs.5,00,000/-
e) Others Exemption certificate issued by Income Tax Officer As per Exemption Certificate As per Exemption Certificate
$ plus deduction under Chapter VIA, if any for which declarant is eligible."
invalid.,When does the Bank issue a TDS Certificate?
When does the Bank issue a TDS Certificate?,"As per Rule 31 of the Income Tax Rules, 1962 the Bank is required to issue TDS Certificate in Form 16A on quarterly basis within fifteen days from the due date for furnishing the statement of tax deducted at source. The due date for issue of TDS Certificate is given below:
Quarter Due date for issuing TDS Certificate
For the quarter ending June 30th of the financial year July 30 of the financial year.
For the quarter ending September 30th of the financial year October 30 of the financial year.
For the quarter ending December 31st of the financial year January 30 of the financial year.
For the quarter ending March 31st of the financial year May 30 of the financial year immediately following the financial year in which tax is deducted.
Further, the Banks are mandatorily required to issue quarterly TDS certificates (Form 16A) generated through TDS Reconciliation Analysis and Correction Enabling System (TRACES). TRACES generates TDS certificates based on PAN of customer. Thus, a consolidated TDS certificate for TDS deducted in all branches of IDBI Bank will be generated."
Can the senior citizen account be opened in a joint account with a non-senior citizen?,"The account can be opened joint with a non-senior citizen, provided the first account holder is a senior citizen to avail special rates for senior citizen, if any."
What documentation is required to open a senior citizen FD?,"While opening the account, the customer needs to provide proof of age - to ensure that account holder is a senior citizen. He can provide any one of the following:
Passport
Driving License
Pension Payment Order
Government ID Card
School Leaving Certificate
Life Insurance Policy
Birth Certificate"
I am an existing customer; do I need to apply for a separate Customer ID to avail of this facility?,"The existing Customer ID may be used and there is no need to create a separate Customer ID for booking of the fixed deposit.
For new FDs being booked, where you do not have an existing FD or an operative account, you will have to provide complete KYC documents for opening a Fixed Deposit."
ATM Usage Charges **,"What is the procedure to be followed in case the customer loses his KIDS Debit cum ATM Card?
If a customer’s KIDS Debit cum ATM Card gets lost/stolen, he is protected from fraudulent charges from the moment he reports the loss to the bank."
How does the Bill Payment System work?,"With our bill payment facility, you can register and make online payments towards a host of billers from your designated HSBC Savings Account or Credit Card, through Personal Internet Banking (PIB), after you have enrolled them under the bill payment service."
Am I eligible to register for the Bill Payment System?,Any customer who is registered for Internet Banking can register for the Bill Payment System as explained in the below question 'How do I register for a biller?'.
Which billers can I make a payment to?,"You can select any biller available from 11 biller categories (Prepaid & Post-paid Mobile, DTH, Water, Gas, Electricity, Broadband, Landline, Insurance, Mutual Fund & Credit cards) under the ‘Add Biller’ section on Personal Internet Banking (PIB)."
How do I register for a biller?,You need to add each biller to 'Your biller' list on PIB before you can begin making bill payments. Please click on the 'Pay Bills' option and then 'Add Biller' option in to register for billers. You will need to provide your consumer reference number when you register.
What is a Consumer Reference Number?,"A Consumer Reference Number/Customer ID/Subscription ID is the unique identification number assigned to you by each biller/payee, which would appear on the bill received by you. For example, with MTNL your telephone details would be your Consumer Reference Number. During the registration process, you should keep your current bills handy as the Consumer Reference Number is required while registering the billers."
How long does it take to process the application and activate the billers that I register for?,Your requests for registration are shared with respective billers for validation. The time required to activate varies with each biller.
How do I know that my registration request for a biller has been processed?,You will receive an email on your registered email ID and SMS on your registered mobile number confirming the registration of your biller/s. Please begin paying your bills only after receipt of such confirmation.
How do I know if my online bill payment has been made?,You will get an SMS & email alert on your registered mobile number & email address once the payment has been processed. Please ensure your mobile number and email address are updated with us.
Are there any fees for bill payment?,"No, we do not charge any fees for this service."
What is the view and pay functionality?,"You will be able view your bill details before making payment to biller. Please note, this functionality is only available for billers who present the bills e.g. electricity, water and gas."
"If I have moved the mobile service provider for my mobile bill under the Mobile Number Portability option, will my existing biller registration for the mobile bill payment continue to remain the same?","In case you have changed your mobile network service provider of your registered mobile number on the bill pay system, (through the Mobile number portability 'MNP' option or otherwise), you will need to de-register and then re-register the new mobile network service provider through the 'Add Biller' option on Personal Internet banking."
Can I set recurring online bill payments?,"Setting up a new SI (Standing Instruction) for your added billers will be available from Q2’2020. However, your existing SIs will continue to get processed."
Can I cancel already set recurring payment (auto bill pay)?,"You can de-register a standing instruction (SI) through by reaching out to HSBC PhoneBanking. This will ensure no further bills are processed for the biller. However, if you have already made a payment using one-time payment option in personal internet banking, you will have to get in touch with the biller directly to check if the biller supports cancellation of payment."
How do I contact HSBC for any queries or additional information on bill payment service?,"If you are looking for information about our products or services or have other queries, please refer to our comprehensive FAQs. In case you’re still unable to find the answer, you can connect with a representative by selecting the Live Chat tab on our website www.hsbc.co.in. Live Chat can provide general information on the products and services, but for information related to your accounts, please call HSBC PhoneBanking."
Terms and conditions,
How do I open a Current / Savings Account with HSBC?,"Walk into any HSBC branch in India to open a Current / Savings Account or call us for more details. After that it is really simple - fill in the account opening form, provide us with the required documents and the minimum required amount (cash / cheque) and we will do the needful. You can also out quarterly for the account online, if you have an existing account with HSBC."
What is the Balance that is required for HSBC Savings Account?,"Eligibility Criteria w.e.f. 01 April 2015
Maintain an Average Quarterly Balance (AQB) of INR150,000 or more in a combination of savings account, current account and fixed deposit balances
OR
Hold a Corporate Salary Account under the Corporate Employee Programme (CEP) with monthly salary credits into this account
OR
Have a mortgage relationship with HSBC, with Equated Monthly Instalments (EMI) being debited from this account towards the mortgage loan repayment with HSBC"
What is the Average Quarterly Balance (AQB) required to be maintained in the case of a HSBC Savings Account? How is the AQB calculated?,"The minimum AQB required to be maintained for HSBC Savings Account is INR150,000. The AQB is calculated by adding the end of day balances for each day in the quarter and dividing it by the number of days in that quarter."
Is there a charge for non-maintenance of Average Quarterly Balance (AQB)?,"Customers need to fulfil the HSBC Savings Account AQB, failing which a quarterly Service Charge of 0.7% (plus applicable taxes) of the shortfall of the AQB will be levied for the quarters in which the eligibility criteria is not met. A notification will be sent to customers in the month immediately following the end of the quarter in case the account has had a shortfall. In the event the AQB is restored to the required level in the following quarter, there will be no charge. If there remains a shortfall, the Service Charge will be levied on the lower of the shortfalls in the two relevant quarters."
Do I need to give an advance notice for withdrawal of cash beyond a limit from a branch?,"Prior notice (normally 24 hours) is to be given to the branch from where the cash withdrawal is to be made for an amount greater than INR100,000."
How can I earn higher returns on funds in my Current / Savings Account?,"Currently, you earn interest at 2.50% p.a. (paid quarterly) on your Savings Account balances and NIL interest on your Current Account balances. However, if you choose, the moment your savings cross the required balance amount, the excess amount will get transferred to a Fixed Deposit, thereby earning you a higher rate of interest.
With effect from 01 April 2010, interest on the savings bank accounts will be calculated on daily product basis. The interest will be credited to your account on a quarterly basis as per RBI Master Direction on Interest on Deposits dated 03 March 2016 with effect from 01 July 2016. Customers are obligated to repay the principal and interest on their overdraft accounts which the bank may grant them from time to time. This should not be construed as an agreement, either expressed or implied, that the Bank is bound to grant any overdraft facility whatsoever. In the absence of any special arrangements, the Bank is not required to honour any cheques drawn by the account holder(s) if in doing so the account would become overdrawn and in these circumstances the Bank reserves the right to debit the account with the charge for each returned cheque."
What is the Method of interest rate calculation?,"Rupee Time deposits held in Domestic, Ordinary Non-Resident (NRO) and Non-Resident (External) NRE Accounts - In case of cumulative deposits, interest is compounded quarterly and the basis of interest calculation is 28-31/365. For term deposit with tenor less than three months or where the terminal quarter is incomplete, interest is calculated proportionately for the actual number of days reckoning the year at 365 days (365 days for leap years).In case of non-cumulative deposits, interest is paid out quarterly or quarterly as preferred by customer. This is effective for all Term Deposits placed / renewed on or after 20 January 2009.
FCNR Deposit Accounts - In case of cumulative deposits, the interest on the deposits for more than one year accepted under this scheme is compounded at intervals of 180 days each and thereafter for remaining actual number of days. In case of non-cumulative deposits, interest is paid out quarterly."
Can I access my account when I am out of town / travelling in India?,"Yes, you can check both the balances in your account as well as your transaction history at any of our branches or ATMs. Moreover you can also apply for our Internet Banking or Phone Banking facility which will give you access to your account balances and other services anytime, anywhere."
Can I withdraw cash in any other city where I do not have a Current / Savings Account?,It is possible to withdraw cash using the debit card at any HSBC or non HSBC VISA ATM in India or overseas (a transaction fee is applicable for withdrawals from non-HSBC ATMs in India and from any ATM overseas).
What if I need foreign exchange for private travel abroad?,"A Resident Indian can avail of foreign exchange up to US$ 10,000 per person in any financial year for tourism or private travel to any country other than Nepal and Bhutan. This allowance can be drawn in addition to exchange drawn for travel for any other purposes.
The document required to be produced is just your passport for verification and return.
Forms required to be completed by you will be given by the branch and this would consist of
Application in Form A2
Foreign Exchange Management Act (FEMA) declaration
Release of Forex application form
Traveler's Cheque and /or currency note purchase form
In the event you need to avail of more than the stated limit, you will have to make an application by letter to RBI, which we will forward for their consent. The excess withdrawal shall only be allowed on receipt of RBI approval."
What if I need foreign exchange for business travel abroad?,"A Resident Indian can avail of foreign exchange up to USD 25,000/- or its equivalent per trip per person irrespective of period of stay for business, conference or specialized training.
All you need to do is produce the following documents:
The traveler's passport for verification and return
Letter from the Company/firm giving details of the business trip and the person or persons traveling
Cheque or debit authority if the same is not contained in the letter in item 2
Complete the following forms given to you by the branch:
Application in Form A2 signed by the traveler
FEMA declaration
Traveler's Cheque and /or currency note purchase form
In the event you need to avail of more than the stated limit, the Company/firm will have to make an application by letter to RBI, which we will forward for their consent. The excess withdrawal shall only be allowed on receipt of RBI approval."
